TEAM,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PER,SEASON,Playoff,Quarter,Semi,Final,Champion,SCORE,W,L,WIN%,GB,CONF,DIV,HOME,ROAD,OT,STREAK,LAST 10,TEAM_ID,ELO
Los Angeles Clippers,2804,5780,963.0,2326.0,1081,1282,605.0,2312.0,2917.0,1581,454.0,275.0,792.0,1235,7652,15.83,2020-21,1,1,1,0,0,12.0,47,25,0.653,5   ,27-15,9-3  ,26-10,21-15,0-0 ,,,1610612746,1644.6071020303093
Los Angeles Lakers,2772,5872,731.0,2076.0,1189,1599,641.0,2353.0,2994.0,1745,542.0,363.0,1015.0,1267,7464,15.34,2020-21,1,0,0,0,0,7.0,42,30,0.583,10  ,25-17,4-8  ,21-15,21-15,5-1 ,,,1610612747,1565.557379728796
Memphis Grizzlies,2933,6250,745.0,2079.0,1089,1421,742.0,2379.0,3121.0,1868,614.0,319.0,862.0,1222,7700,15.76,2020-21,1,0,0,0,0,8.0,38,34,0.528,14  ,19-23,6-6  ,18-18,20-16,2-2 ,,,1610612763,1540.2656358519216
Miami Heat,2656,5678,880.0,2450.0,1137,1423,511.0,2218.0,2729.0,1801,526.0,254.0,886.0,1170,7329,14.02,2020-21,1,0,0,0,0,6.0,40,32,0.556,9   ,24-18,6-6  ,21-15,19-17,0-4 ,,,1610612748,1542.4141998715957
Milwaukee Bucks,2995,6083,940.0,2424.0,1081,1429,672.0,2484.0,3156.0,1690,521.0,298.0,877.0,1085,8011,18.11,2020-21,1,1,1,1,1,12.0,46,26,0.639,3   ,30-12,11-1 ,26-10,20-16,1-1 ,,,1610612749,1749.359608319357
Minnesota Timberwolves,2844,6334,931.0,2653.0,1226,1602,677.0,2237.0,2914.0,1801,602.0,376.0,947.0,1393,7845,14.79,2020-21,0,0,0,0,0,,23,49,0.319,29  ,15-27,5-7  ,13-23,10-26,0-5 ,,,1610612750,1426.4376080395227
New Orleans Pelicans,2980,6168,728.0,2061.0,1335,1831,799.0,2436.0,3235.0,1813,513.0,304.0,952.0,1199,8023,16.18,2020-21,0,0,0,0,0,,31,41,0.431,21  ,18-24,6-6  ,18-18,13-23,2-4 ,,,1610612740,1446.421194844821
New York Knicks,2688,5837,761.0,1936.0,1136,1440,672.0,2417.0,3089.0,1454,461.0,349.0,820.0,1346,7273,15.48,2020-21,1,0,0,0,0,4.0,41,31,0.569,8   ,25-17,4-8  ,25-11,16-20,4-2 ,,,1610612752,1565.7801564170493
Oklahoma City Thunder,2506,5730,803.0,2330.0,969,1333,612.0,2295.0,2907.0,1410,438.0,284.0,1005.0,1153,6784,13.6,2020-21,0,0,0,0,0,,22,50,0.306,30  ,12-30,3-9  ,10-26,12-24,1-2 ,,,1610612760,1289.8619937420965
Orlando Magic,2434,5637,693.0,2012.0,1027,1337,653.0,2218.0,2871.0,1352,425.0,271.0,766.0,1026,6588,13.48,2020-21,0,0,0,0,0,,21,51,0.292,28  ,13-29,4-8  ,11-25,10-26,1-1 ,,,1610612753,1300.5210673382594
Philadelphia 76ers,2765,5779,748.0,1977.0,1333,1724,625.0,2335.0,2960.0,1598,607.0,406.0,924.0,1306,7611,16.0,2020-21,1,1,0,0,0,14.0,49,23,0.681,--  ,31-11,10-2 ,29-7 ,20-16,4-2 ,,,1610612755,1628.8946442404572
Phoenix Suns,2907,5895,869.0,2300.0,1050,1253,586.0,2292.0,2878.0,1840,482.0,288.0,793.0,1246,7733,16.13,2020-21,1,1,1,1,0,8.0,51,21,0.708,1   ,30-12,7-5  ,27-9 ,24-12,4-3 ,,,1610612756,1697.050238068519
Portland Trail Blazers,2887,6347,1115.0,2873.0,1244,1498,710.0,2291.0,3001.0,1474,476.0,342.0,741.0,1257,8133,15.46,2020-21,1,0,0,0,0,6.0,42,30,0.583,10  ,23-19,6-6  ,20-16,22-14,1-0 ,,,1610612757,1572.2533608767362
Sacramento Kings,2669,5525,781.0,2108.0,1012,1356,551.0,1949.0,2500.0,1636,476.0,302.0,795.0,1138,7131,14.32,2020-21,0,0,0,0,0,,31,41,0.431,21  ,18-24,5-7  ,16-20,15-21,1-0 ,,,1610612758,1446.6790036810012
San Antonio Spurs,2811,6086,674.0,1913.0,1159,1452,612.0,2269.0,2881.0,1652,455.0,348.0,725.0,1177,7455,15.25,2020-21,0,0,0,0,0,,33,39,0.458,19  ,17-25,6-6  ,14-22,19-17,2-5 ,,,1610612759,1433.1631775765438
Toronto Raptors,2598,5789,919.0,2524.0,1171,1432,610.0,2081.0,2691.0,1628,565.0,349.0,815.0,1336,7286,14.11,2020-21,0,0,0,0,0,,27,45,0.375,22  ,17-25,4-8  ,16-20,11-25,0-1 ,,,1610612761,1370.169128795174
Utah Jazz,2833,6013,1148.0,2926.0,1184,1486,717.0,2575.0,3292.0,1605,438.0,356.0,910.0,1225,7998,17.16,2020-21,1,1,0,0,0,2.0,52,20,0.722,--  ,28-14,7-5  ,31-5 ,21-15,0-3 ,,,1610612762,1614.4150683966548
Washington Wizards,2717,5732,651.0,1827.0,1279,1653,555.0,2134.0,2689.0,1667,435.0,208.0,859.0,1229,7364,14.76,2020-21,1,0,0,0,0,8.0,34,38,0.472,15  ,16-26,3-9  ,19-17,15-21,4-1 ,,,1610612764,1505.9855353474402
