TEAM,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PER,SEASON,Playoff,Quarter,Semi,Final,Champion,SCORE,W,L,WIN%,GB,CONF,DIV,HOME,ROAD,OT,TEAM_ID,ELO
Denver Nuggets,3368,7193,879.0,2492.0,1259,1659,951.0,2787.0,3738.0,2186,619.0,360.0,1016.0,1591,8874,16.06,2018-19,1,1,0,0,0,4.0,54,28,0.659,3   ,34-18,12-4 ,34-7 ,20-21,2-0 ,1610612743,1520.036048501666
Detroit Pistons,3091,7036,978.0,2798.0,1381,1847,904.0,2653.0,3557.0,1817,548.0,322.0,1033.0,1726,8541,12.69,2018-19,1,0,0,0,0,8.0,41,41,0.5,19  ,27-25,8-8  ,26-15,15-26,5-2 ,1610612765,1363.7870760929611
Golden State Warriors,3451,7038,1046.0,2721.0,1289,1604,732.0,2823.0,3555.0,2337,592.0,488.0,1079.0,1607,9237,17.81,2018-19,1,1,1,1,0,4.0,57,25,0.695,--  ,35-17,13-3 ,30-11,27-14,0-5 ,1610612744,1615.8678411065564
Houston Rockets,3060,6731,1260.0,3491.0,1527,1916,785.0,2448.0,3233.0,1658,663.0,371.0,976.0,1613,8907,14.66,2018-19,1,1,0,0,0,8.0,53,29,0.646,4   ,32-20,10-6 ,31-10,22-19,2-4 ,1610612745,1568.7174726410624
Indiana Pacers,3290,6904,768.0,2036.0,1262,1674,717.0,2640.0,3357.0,2057,690.0,370.0,1047.0,1490,8610,15.46,2018-19,1,0,0,0,0,5.0,48,34,0.585,12  ,33-19,11-5 ,29-12,19-22,1-0 ,1610612754,1361.752333622878
Los Angeles Clippers,3071,6513,742.0,1888.0,1697,2120,672.0,2541.0,3213.0,1842,500.0,342.0,993.0,1606,8581,14.32,2018-19,1,0,0,0,0,8.0,48,34,0.585,9   ,28-24,11-5 ,26-15,22-19,5-1 ,1610612746,1471.7341733045653
Los Angeles Lakers,3179,6698,771.0,2281.0,1208,1724,717.0,2705.0,3422.0,1956,555.0,389.0,1127.0,1476,8337,15.56,2018-19,0,0,0,0,0,,37,45,0.451,20  ,25-27,9-7  ,22-19,15-26,2-2 ,1610612747,1345.9696106703875
Memphis Grizzlies,2599,5679,639.0,1839.0,1280,1657,634.0,2370.0,3004.0,1704,587.0,417.0,912.0,1496,7117,13.89,2018-19,0,0,0,0,0,,33,49,0.402,24  ,24-28,8-8  ,21-20,12-29,3-4 ,1610612763,1318.600831838537
Miami Heat,3219,7125,916.0,2604.0,1229,1768,910.0,2831.0,3741.0,1981,620.0,448.0,1146.0,1690,8583,14.88,2018-19,0,0,0,0,0,,39,43,0.476,21  ,23-29,7-9  ,19-22,20-21,1-1 ,1610612748,1383.886446117535
Milwaukee Bucks,3287,6824,985.0,2773.0,1381,1775,674.0,2975.0,3649.0,1965,559.0,436.0,993.0,1434,8940,17.38,2018-19,1,1,1,0,0,3.0,60,22,0.732,--  ,40-12,14-2 ,33-8 ,27-14,1-3 ,1610612749,1570.2197793686696
Minnesota Timberwolves,3195,7000,754.0,2151.0,1478,1875,880.0,2612.0,3492.0,1895,625.0,388.0,976.0,1556,8622,14.96,2018-19,0,0,0,0,0,,36,46,0.439,21  ,22-30,5-11 ,25-16,11-30,3-3 ,1610612750,1339.089268480413
New Orleans Pelicans,3442,7224,792.0,2293.0,1413,1854,871.0,2830.0,3701.0,2148,578.0,423.0,1131.0,1634,9089,16.45,2018-19,0,0,0,0,0,,33,49,0.402,24  ,23-29,8-8  ,19-22,14-27,1-2 ,1610612740,1275.9402627469726
New York Knicks,2872,6672,763.0,2252.0,1333,1761,764.0,2497.0,3261.0,1434,509.0,387.0,1000.0,1551,7840,13.08,2018-19,0,0,0,0,0,,17,65,0.207,43  ,11-41,2-14 ,9-32 ,8-33 ,2-1 ,1610612752,1166.572179328984
Oklahoma City Thunder,3335,7286,879.0,2505.0,1423,1999,998.0,2772.0,3770.0,1833,735.0,408.0,1084.0,1707,8972,14.67,2018-19,1,0,0,0,0,6.0,49,33,0.598,8   ,28-24,9-7  ,27-14,22-19,2-3 ,1610612760,1461.7966635560967
Orlando Magic,3231,7096,912.0,2548.0,1194,1525,785.0,2780.0,3565.0,2020,524.0,425.0,1013.0,1440,8568,14.72,2018-19,1,0,0,0,0,7.0,42,40,0.512,18  ,30-22,10-6 ,25-16,17-24,1-3 ,1610612753,1444.9337652260754
Philadelphia 76ers,3009,6337,782.0,2160.0,1584,2037,755.0,2643.0,3398.0,1974,514.0,371.0,1046.0,1448,8384,15.04,2018-19,1,1,0,0,0,14.0,51,31,0.622,9   ,31-21,8-8  ,31-10,20-21,2-3 ,1610612755,1500.9350469150015
Phoenix Suns,3172,6854,763.0,2277.0,1374,1757,690.0,2383.0,3073.0,1848,697.0,398.0,1185.0,1798,8481,12.92,2018-19,0,0,0,0,0,,19,63,0.232,38  ,11-41,3-13 ,12-29,7-34 ,3-3 ,1610612756,1200.8742803139792
Portland Trail Blazers,3389,7218,884.0,2454.0,1529,1867,943.0,2882.0,3825.0,1845,536.0,406.0,1042.0,1615,9191,16.64,2018-19,1,1,1,0,0,9.0,53,29,0.646,4   ,29-23,6-10 ,32-9 ,21-20,4-2 ,1610612757,1535.1672416611216
Sacramento Kings,3341,7171,868.0,2256.0,1266,1733,853.0,2636.0,3489.0,1935,615.0,338.0,984.0,1576,8816,15.81,2018-19,0,0,0,0,0,,39,43,0.476,18  ,21-31,4-12 ,24-17,15-26,0-2 ,1610612758,1327.8038301874176
San Antonio Spurs,3345,6966,796.0,2028.0,1315,1598,710.0,2694.0,3404.0,1909,470.0,360.0,912.0,1397,8801,15.78,2018-19,1,0,0,0,0,7.0,48,34,0.585,9   ,30-22,10-6 ,32-9 ,16-25,3-1 ,1610612759,1477.8627170890818
Toronto Raptors,3195,6669,947.0,2550.0,1334,1646,683.0,2619.0,3302.0,1943,615.0,389.0,981.0,1489,8671,16.56,2018-19,1,1,1,1,1,8.0,58,24,0.707,2   ,36-16,12-4 ,32-9 ,26-15,4-3 ,1610612761,1644.756554054754
Utah Jazz,3059,6511,922.0,2571.0,1410,1925,769.0,2801.0,3570.0,1950,624.0,435.0,1102.0,1555,8450,15.85,2018-19,1,0,0,0,0,5.0,50,32,0.61,7   ,30-22,8-8  ,29-12,21-20,0-2 ,1610612762,1494.1192171828252
Washington Wizards,3254,6959,904.0,2632.0,1383,1783,695.0,2443.0,3138.0,2063,627.0,334.0,1050.0,1503,8795,14.59,2018-19,0,0,0,0,0,,32,50,0.39,28  ,19-33,7-9  ,22-19,10-31,3-4 ,1610612764,1263.678087613311
Atlanta Hawks,2957,6574,860.0,2368.0,1246,1578,714.0,2502.0,3216.0,1798,584.0,331.0,1138.0,1500,8020,14.17,2017-18,0,0,0,0,0,,24,58,0.293,35  ,12-40,5-11 ,16-25,8-33 ,0-1 ,1610612737,1268.022768150412
Boston Celtics,2974,6639,918.0,2421.0,1225,1584,686.0,2705.0,3391.0,1743,564.0,348.0,1011.0,1518,8091,14.3,2017-18,1,1,1,0,0,6.0,55,27,0.671,4   ,33-19,12-4 ,27-14,28-13,2-2 ,1610612738,1522.5316168000645
Brooklyn Nets,2720,6193,942.0,2624.0,1289,1654,655.0,2414.0,3069.0,1765,461.0,333.0,998.0,1443,7671,14.65,2017-18,0,0,0,0,0,,28,54,0.341,31  ,19-33,1-15 ,15-26,13-28,1-5 ,1610612751,1297.6384001729386
Charlotte Hornets,3073,6818,798.0,2162.0,1585,2124,755.0,2721.0,3476.0,1715,535.0,356.0,980.0,1306,8529,14.81,2017-18,0,0,0,0,0,,36,46,0.439,23  ,22-30,11-5 ,21-20,15-26,2-2 ,1610612766,1342.62413936264
Chicago Bulls,2960,6734,838.0,2317.0,1095,1440,736.0,2648.0,3384.0,1804,575.0,274.0,1008.0,1459,7853,15.17,2017-18,0,0,0,0,0,,27,55,0.329,32  ,21-31,4-12 ,17-24,10-31,2-3 ,1610612741,1233.0683735248704
Cleveland Cavaliers,3004,6265,934.0,2452.0,1313,1686,586.0,2511.0,3097.0,1763,520.0,268.0,975.0,1357,8255,14.77,2017-18,1,1,1,1,1,16.0,50,32,0.61,9   ,35-17,11-5 ,29-12,21-20,2-0 ,1610612739,1528.9136780873382
Dallas Mavericks,2882,6447,916.0,2502.0,1067,1370,525.0,2364.0,2889.0,1728,495.0,263.0,866.0,1341,7747,13.97,2017-18,0,0,0,0,0,,24,58,0.293,41  ,14-38,5-11 ,15-26,9-32 ,0-5 ,1610612742,1217.2755525325597
Denver Nuggets,3195,6799,916.0,2454.0,1350,1755,811.0,2598.0,3409.0,1998,596.0,384.0,1121.0,1423,8656,15.37,2017-18,0,0,0,0,0,,46,36,0.561,19  ,28-24,9-7  ,31-10,15-26,3-4 ,1610612743,1494.466808955601
Detroit Pistons,3003,6623,849.0,2248.0,1094,1488,782.0,2578.0,3360.0,1746,595.0,305.0,945.0,1386,7949,14.69,2017-18,0,0,0,0,0,,39,43,0.476,20  ,24-28,9-7  ,25-16,14-27,1-4 ,1610612765,1363.3264325664156
Golden State Warriors,3498,6956,926.0,2368.0,1357,1663,686.0,2867.0,3553.0,2400,655.0,609.0,1225.0,1593,9279,18.82,2017-18,1,1,1,1,0,8.0,58,24,0.707,7   ,34-18,13-3 ,29-12,29-12,2-0 ,1610612744,1660.4291613415833
Houston Rockets,3117,6723,1234.0,3366.0,1590,2034,720.0,2759.0,3479.0,1727,675.0,373.0,1034.0,1526,9058,16.61,2017-18,1,1,1,0,0,3.0,65,17,0.793,--  ,41-11,12-4 ,34-7 ,31-10,2-0 ,1610612745,1640.9958946015606
Indiana Pacers,3066,6495,698.0,1888.0,1158,1489,669.0,2420.0,3089.0,1734,677.0,302.0,993.0,1364,7988,15.15,2017-18,1,0,0,0,0,5.0,48,34,0.585,11  ,32-20,10-6 ,27-14,21-20,3-0 ,1610612754,1478.8677551135358
Los Angeles Clippers,3058,6531,721.0,2054.0,1461,1961,740.0,2537.0,3277.0,1758,578.0,329.0,1075.0,1473,8298,14.47,2017-18,0,0,0,0,0,,42,40,0.512,23  ,24-28,12-4 ,22-19,20-21,0-1 ,1610612746,1414.0632684995846
Los Angeles Lakers,3091,6666,753.0,2172.0,1243,1761,780.0,2671.0,3451.0,1776,600.0,346.0,1134.0,1547,8178,15.18,2017-18,0,0,0,0,0,,35,47,0.427,30  ,19-33,6-10 ,20-21,15-26,3-5 ,1610612747,1358.2228277301288
Memphis Grizzlies,2749,6174,690.0,1953.0,1250,1577,710.0,2374.0,3084.0,1610,523.0,349.0,1094.0,1768,7438,12.6,2017-18,0,0,0,0,0,,22,60,0.268,43  ,18-34,5-11 ,16-25,6-35 ,0-1 ,1610612763,1181.4229591823243
Miami Heat,2958,6437,850.0,2312.0,1131,1490,694.0,2598.0,3292.0,1737,575.0,392.0,1032.0,1505,7897,15.36,2017-18,1,0,0,0,0,6.0,44,38,0.537,15  ,31-21,11-5 ,26-15,18-23,3-6 ,1610612748,1400.7654076278277
Milwaukee Bucks,2989,6212,644.0,1799.0,1410,1804,594.0,2306.0,2900.0,1748,656.0,406.0,994.0,1536,8032,13.59,2017-18,1,0,0,0,0,7.0,44,38,0.537,15  ,27-25,6-10 ,25-16,19-22,3-3 ,1610612749,1420.5753791848824
Minnesota Timberwolves,3239,6753,637.0,1773.0,1542,1906,813.0,2529.0,3342.0,1812,665.0,342.0,936.0,1398,8657,16.04,2017-18,1,0,0,0,0,8.0,47,35,0.573,18  ,34-18,10-6 ,30-11,17-24,3-2 ,1610612750,1440.694717759035
New Orleans Pelicans,3341,6866,807.0,2231.0,1282,1647,619.0,2732.0,3351.0,2100,617.0,448.0,1116.0,1411,8771,16.62,2017-18,1,1,0,0,0,12.0,48,34,0.585,17  ,27-25,9-7  ,24-17,24-17,7-2 ,1610612740,1521.330253946636
New York Knicks,2965,6326,587.0,1630.0,1089,1354,764.0,2412.0,3176.0,1640,450.0,372.0,998.0,1426,7606,14.96,2017-18,0,0,0,0,0,,29,53,0.354,30  ,17-35,6-10 ,19-22,10-31,1-4 ,1610612752,1237.338097649371
Oklahoma City Thunder,3223,7129,877.0,2481.0,1398,1939,1000.0,2625.0,3625.0,1728,735.0,404.0,1086.0,1612,8721,13.93,2017-18,1,0,0,0,0,4.0,48,34,0.585,17  ,28-24,5-11 ,27-14,21-20,3-1 ,1610612760,1486.6538539146432
Orlando Magic,3107,6840,820.0,2319.0,1246,1645,714.0,2622.0,3336.0,1886,614.0,394.0,1121.0,1534,8280,14.57,2017-18,0,0,0,0,0,,25,57,0.305,34  ,15-37,5-11 ,17-24,8-33 ,2-0 ,1610612753,1221.795645072503
Philadelphia 76ers,3218,6803,888.0,2397.0,1350,1788,827.0,2870.0,3697.0,2127,647.0,401.0,1250.0,1709,8674,17.09,2017-18,1,1,0,0,0,14.0,52,30,0.634,7   ,34-18,9-7  ,30-11,22-19,1-1 ,1610612755,1531.972646729347
Phoenix Suns,2803,6344,684.0,2012.0,1278,1734,744.0,2414.0,3158.0,1480,474.0,337.0,1094.0,1607,7568,13.18,2017-18,0,0,0,0,0,,21,61,0.256,44  ,15-37,4-12 ,10-31,11-30,0-1 ,1610612756,1155.5443298434882
Portland Trail Blazers,3076,6829,823.0,2243.0,1320,1642,767.0,2645.0,3412.0,1539,545.0,404.0,1015.0,1459,8295,14.37,2017-18,1,0,0,0,0,3.0,49,33,0.598,16  ,31-21,9-7  ,28-13,21-20,2-1 ,1610612757,1463.6333394672624
Sacramento Kings,3059,6769,716.0,1891.0,962,1306,713.0,2421.0,3134.0,1724,618.0,304.0,1049.0,1524,7796,13.33,2017-18,0,0,0,0,0,,27,55,0.329,38  ,14-38,5-11 ,14-27,13-28,3-0 ,1610612758,1289.8214646699194
San Antonio Spurs,3127,6832,677.0,1923.0,1273,1650,837.0,2705.0,3542.0,1825,602.0,446.0,1013.0,1377,8204,14.99,2017-18,1,0,0,0,0,7.0,47,35,0.573,18  ,29-23,9-7  ,33-8 ,14-27,1-1 ,1610612759,1423.7730582730055
Toronto Raptors,3296,7006,948.0,2639.0,1395,1753,776.0,2705.0,3481.0,1955,595.0,454.0,1017.0,1708,8935,16.92,2017-18,1,1,0,0,0,2.0,59,23,0.72,--  ,40-12,12-4 ,34-7 ,25-16,4-2 ,1610612761,1483.7110448841916
Utah Jazz,3017,6525,860.0,2350.0,1317,1692,721.0,2728.0,3449.0,1716,684.0,413.0,1094.0,1544,8211,14.88,2017-18,1,1,0,0,0,10.0,48,34,0.585,17  ,34-18,7-9  ,28-13,20-21,2-1 ,1610612762,1545.548020985039
Washington Wizards,3186,6794,803.0,2118.0,1318,1709,791.0,2642.0,3433.0,1997,634.0,334.0,1119.0,1677,8493,15.42,2017-18,1,0,0,0,0,8.0,43,39,0.524,16  ,28-24,8-8  ,23-18,20-21,3-3 ,1610612764,1374.9731033712944
Atlanta Hawks,2967,6523,678.0,1967.0,1431,1966,796.0,2616.0,3412.0,1811,642.0,379.0,1188.0,1397,8043,14.44,2016-17,1,0,0,0,0,5.0,43,39,0.524,10  ,30-22,6-10 ,23-18,20-21,5-0 ,1610612737,1379.7191319855178
Boston Celtics,3125,6881,972.0,2704.0,1519,1874,722.0,2655.0,3377.0,2055,604.0,332.0,1024.0,1659,8741,15.3,2016-17,1,1,1,0,0,3.0,53,29,0.646,--  ,36-16,11-5 ,30-11,23-18,2-1 ,1610612738,1487.0995475505972
Brooklyn Nets,2864,6460,820.0,2394.0,1479,1863,612.0,2633.0,3245.0,1648,549.0,361.0,1205.0,1571,8027,14.22,2016-17,0,0,0,0,0,,20,62,0.244,33  ,11-41,3-13 ,13-28,7-34 ,1-1 ,1610612751,1242.316288529351
Charlotte Hornets,2973,6722,796.0,2271.0,1523,1863,668.0,2738.0,3406.0,1804,537.0,378.0,846.0,1266,8265,16.01,2016-17,0,0,0,0,0,,36,46,0.439,17  ,22-30,10-6 ,22-19,14-27,0-6 ,1610612766,1330.3443524067363
Chicago Bulls,3099,6956,600.0,1762.0,1453,1818,976.0,2732.0,3708.0,1811,630.0,393.0,1036.0,1425,8251,14.36,2016-17,1,0,0,0,0,8.0,41,41,0.5,12  ,28-24,9-7  ,25-16,16-25,2-2 ,1610612741,1399.0648513093522
Cleveland Cavaliers,2937,6181,948.0,2473.0,1279,1706,728.0,2544.0,3272.0,1640,484.0,280.0,949.0,1248,8101,14.74,2016-17,1,1,1,1,1,8.0,51,31,0.622,2   ,35-17,8-8  ,31-10,20-21,3-4 ,1610612739,1565.3111772902769
Dallas Mavericks,2788,6336,846.0,2373.0,1134,1393,574.0,2321.0,2895.0,1613,576.0,266.0,849.0,1437,7556,12.82,2016-17,0,0,0,0,0,,33,49,0.402,34  ,19-33,5-11 ,21-20,12-29,2-2 ,1610612742,1328.059657103941
Denver Nuggets,3322,7065,851.0,2311.0,1517,1959,948.0,2770.0,3718.0,2033,553.0,319.0,1157.0,1524,9012,17.4,2016-17,0,0,0,0,0,,40,42,0.488,27  ,24-28,6-10 ,22-19,18-23,0-3 ,1610612743,1445.0386999549671
Detroit Pistons,3072,6822,581.0,1757.0,1061,1483,837.0,2638.0,3475.0,1652,538.0,292.0,870.0,1373,7786,14.62,2016-17,0,0,0,0,0,,37,45,0.451,16  ,21-31,5-11 ,24-17,13-28,3-1 ,1610612765,1314.6890481878352
Golden State Warriors,3358,6782,960.0,2490.0,1382,1727,656.0,2627.0,3283.0,2384,733.0,492.0,1105.0,1392,9058,19.31,2016-17,1,1,1,1,0,4.0,67,15,0.817,--  ,42-10,14-2 ,36-5 ,31-10,0-3 ,1610612744,1764.6458521573331
Houston Rockets,3194,6888,1140.0,3192.0,1642,2147,866.0,2670.0,3536.0,2004,646.0,340.0,1134.0,1542,9170,17.8,2016-17,1,1,0,0,0,6.0,55,27,0.671,12  ,36-16,10-6 ,30-11,25-16,3-0 ,1610612745,1502.994259588548
Indiana Pacers,3149,6736,698.0,1842.0,1431,1762,712.0,2618.0,3330.0,1795,656.0,401.0,1058.0,1537,8427,14.92,2016-17,1,0,0,0,0,7.0,42,40,0.512,11  ,26-26,8-8  ,29-12,13-28,4-2 ,1610612754,1363.2756922297594
Los Angeles Clippers,3179,6650,812.0,2158.0,1560,2095,732.0,2715.0,3447.0,1826,603.0,340.0,996.0,1546,8730,17.01,2016-17,1,0,0,0,0,4.0,51,31,0.622,16  ,31-21,10-6 ,29-12,22-19,1-1 ,1610612746,1500.992922667357
Los Angeles Lakers,2983,6605,678.0,1936.0,1312,1731,885.0,2457.0,3342.0,1500,591.0,298.0,1090.0,1548,7956,15.27,2016-17,0,0,0,0,0,,26,56,0.317,41  ,16-36,6-10 ,17-24,9-32 ,1-0 ,1610612747,1283.9565276285894
Memphis Grizzlies,2727,6267,744.0,2042.0,1389,1756,804.0,2402.0,3206.0,1579,575.0,285.0,906.0,1614,7587,12.79,2016-17,1,0,0,0,0,7.0,43,39,0.524,24  ,28-24,8-8  ,24-17,19-22,5-2 ,1610612763,1364.7346459339708
Miami Heat,3060,6672,774.0,2100.0,1182,1672,800.0,2512.0,3312.0,1651,553.0,449.0,970.0,1542,8076,14.02,2016-17,0,0,0,0,0,,41,41,0.5,12  ,27-25,9-7  ,23-18,18-23,2-1 ,1610612748,1473.935115838321
Milwaukee Bucks,3055,6399,683.0,1823.0,1372,1776,690.0,2457.0,3147.0,1911,630.0,408.0,1041.0,1553,8165,14.89,2016-17,1,0,0,0,0,6.0,42,40,0.512,11  ,27-25,10-6 ,23-18,19-22,1-3 ,1610612749,1414.3617154022566
Minnesota Timberwolves,3177,6792,596.0,1695.0,1564,1955,915.0,2486.0,3401.0,1916,630.0,361.0,1073.0,1579,8514,14.02,2016-17,0,0,0,0,0,,31,51,0.378,36  ,18-34,5-11 ,20-21,11-30,2-3 ,1610612750,1314.2660179816737
New Orleans Pelicans,2790,6172,667.0,1886.0,1207,1589,579.0,2456.0,3035.0,1601,553.0,415.0,865.0,1223,7454,14.84,2016-17,0,0,0,0,0,,34,48,0.415,33  ,20-32,6-10 ,21-20,13-28,3-5 ,1610612740,1375.3865279855183
New York Knicks,3119,6932,670.0,1909.0,1291,1631,920.0,2585.0,3505.0,1688,543.0,440.0,1025.0,1549,8199,14.7,2016-17,0,0,0,0,0,,31,51,0.378,22  ,22-30,5-11 ,19-22,12-29,1-3 ,1610612752,1274.1265325275194
Oklahoma City Thunder,2973,6551,639.0,1938.0,1505,2017,933.0,2592.0,3525.0,1616,602.0,377.0,1123.0,1546,8090,14.08,2016-17,1,0,0,0,0,6.0,47,35,0.573,20  ,29-23,10-6 ,28-13,19-22,4-1 ,1610612760,1431.8313019150942
Orlando Magic,3082,6956,676.0,2050.0,1295,1736,781.0,2659.0,3440.0,1777,563.0,388.0,1027.0,1514,8135,13.97,2016-17,0,0,0,0,0,,29,53,0.354,24  ,20-32,7-9  ,16-25,13-28,2-2 ,1610612753,1259.7738640358657
Philadelphia 76ers,2954,6711,806.0,2370.0,1332,1720,742.0,2607.0,3349.0,1906,676.0,403.0,1269.0,1700,8046,15.0,2016-17,0,0,0,0,0,,28,54,0.341,25  ,19-33,7-9  ,17-24,11-30,1-4 ,1610612755,1230.1179700621874
Phoenix Suns,3257,7205,607.0,1817.0,1662,2142,969.0,2694.0,3663.0,1584,661.0,398.0,1217.0,2013,8783,14.85,2016-17,0,0,0,0,0,,24,58,0.293,43  ,11-41,3-13 ,15-26,9-32 ,3-3 ,1610612756,1217.8600620058285
Portland Trail Blazers,3167,6869,817.0,2175.0,1493,1911,810.0,2680.0,3490.0,1683,557.0,400.0,1038.0,1685,8644,15.38,2016-17,1,0,0,0,0,8.0,41,41,0.5,26  ,28-24,11-5 ,25-16,16-25,4-5 ,1610612757,1449.0143478243392
Sacramento Kings,2863,6188,674.0,1804.0,1409,1813,653.0,2426.0,3079.0,1717,589.0,299.0,1065.0,1537,7809,14.26,2016-17,0,0,0,0,0,,32,50,0.39,35  ,21-31,7-9  ,17-24,15-26,2-6 ,1610612758,1318.5229646227958
San Antonio Spurs,3106,6586,717.0,1824.0,1400,1753,804.0,2688.0,3492.0,1852,640.0,471.0,985.0,1419,8329,16.18,2016-17,1,1,1,0,0,6.0,61,21,0.744,6   ,36-16,11-5 ,31-10,30-11,4-1 ,1610612759,1528.433270507899
Toronto Raptors,3102,6628,699.0,1913.0,1551,1943,836.0,2584.0,3420.0,1418,628.0,384.0,923.0,1620,8454,14.94,2016-17,1,1,0,0,0,6.0,51,31,0.622,2   ,34-18,14-2 ,28-13,23-18,3-1 ,1610612761,1458.5289389965462
Utah Jazz,2928,6305,780.0,2092.0,1354,1812,711.0,2666.0,3377.0,1608,512.0,371.0,1029.0,1444,7990,13.86,2016-17,1,1,0,0,0,10.0,51,31,0.622,16  ,31-21,8-8  ,29-12,22-19,2-1 ,1610612762,1502.5250833361968
Washington Wizards,3287,6851,735.0,1931.0,1378,1752,815.0,2562.0,3377.0,1823,656.0,328.0,1061.0,1642,8687,14.74,2016-17,1,1,0,0,0,8.0,49,33,0.598,4   ,32-20,8-8  ,30-11,19-22,4-3 ,1610612764,1479.0736324338288
Atlanta Hawks,3016,6544,780.0,2168.0,1217,1541,641.0,2607.0,3248.0,1982,704.0,466.0,1119.0,1444,8029,15.91,2015-16,1,1,0,0,0,8.0,48,34,0.585,9   ,29-23,8-8  ,27-14,21-20,0-5 ,1610612737,1467.2611951852614
Boston Celtics,3043,6860,684.0,2023.0,1460,1847,873.0,2540.0,3413.0,1867,714.0,318.0,1029.0,1671,8230,16.14,2015-16,1,0,0,0,0,5.0,48,34,0.585,9   ,31-21,10-6 ,28-13,20-21,1-2 ,1610612738,1464.5225948377674
Brooklyn Nets,2953,6527,507.0,1437.0,1194,1563,760.0,2397.0,3157.0,1766,578.0,274.0,1109.0,1326,7607,13.84,2015-16,0,0,0,0,0,,21,61,0.256,36  ,12-40,6-10 ,14-27,7-34 ,1-2 ,1610612751,1171.4955030701808
Charlotte Hornets,2820,6458,797.0,2239.0,1422,1778,667.0,2694.0,3361.0,1683,553.0,424.0,903.0,1347,7859,15.47,2015-16,1,0,0,0,0,6.0,48,34,0.585,9   ,33-19,8-8  ,30-11,18-23,5-0 ,1610612766,1474.5017724311776
Chicago Bulls,3112,7058,650.0,1744.0,1322,1677,873.0,2793.0,3666.0,1838,487.0,454.0,1076.0,1495,8196,14.68,2015-16,0,0,0,0,0,,42,40,0.512,15  ,25-27,10-6 ,26-15,16-25,2-4 ,1610612741,1383.9141873939936
Cleveland Cavaliers,2939,6331,777.0,2160.0,1241,1650,811.0,2530.0,3341.0,1760,504.0,284.0,979.0,1460,7896,15.04,2015-16,1,1,1,1,1,4.0,57,25,0.695,--  ,35-17,8-8  ,33-8 ,24-17,3-3 ,1610612739,1666.8015921238582
Dallas Mavericks,2792,6427,799.0,2305.0,1355,1677,582.0,2443.0,3025.0,1759,528.0,220.0,921.0,1399,7738,14.14,2015-16,1,0,0,0,0,6.0,42,40,0.512,31  ,27-25,7-9  ,23-18,19-22,8-4 ,1610612742,1400.9992986652385
Denver Nuggets,2905,6559,602.0,1772.0,1439,1851,879.0,2501.0,3380.0,1751,552.0,351.0,1079.0,1513,7851,15.32,2015-16,0,0,0,0,0,,33,49,0.402,40  ,18-34,4-12 ,18-23,15-26,2-4 ,1610612743,1317.7110881749825
Detroit Pistons,2927,6621,666.0,1940.0,1299,1955,984.0,2611.0,3595.0,1444,537.0,287.0,1002.0,1436,7819,14.88,2015-16,1,0,0,0,0,8.0,44,38,0.537,13  ,29-23,10-6 ,26-15,18-23,4-1 ,1610612765,1409.1758524694535
Golden State Warriors,3399,6978,1075.0,2588.0,1304,1680,759.0,2857.0,3616.0,2322,670.0,477.0,1189.0,1585,9177,18.63,2015-16,1,1,1,1,0,4.0,73,9,0.89,--  ,46-6 ,15-1 ,39-2 ,34-7 ,6-1 ,1610612744,1674.6471099880648
Houston Rockets,2832,6289,844.0,2404.0,1568,2251,841.0,2407.0,3248.0,1724,769.0,389.0,1146.0,1607,8076,14.43,2015-16,1,0,0,0,0,8.0,41,41,0.5,32  ,28-24,8-8  ,23-18,18-23,4-2 ,1610612745,1429.120609506026
Indiana Pacers,3045,6736,648.0,1827.0,1406,1839,829.0,2703.0,3532.0,1616,716.0,389.0,1125.0,1587,8144,15.2,2015-16,1,0,0,0,0,7.0,45,37,0.549,12  ,30-22,8-8  ,26-15,19-22,1-7 ,1610612754,1455.9066444937994
Los Angeles Clippers,3031,6484,770.0,2108.0,1449,2089,680.0,2603.0,3283.0,1816,681.0,418.0,967.0,1645,8281,15.12,2015-16,1,0,0,0,0,4.0,53,29,0.646,20  ,31-21,9-7  ,29-12,24-17,5-1 ,1610612746,1483.1945337876307
Los Angeles Lakers,2737,6628,634.0,1979.0,1502,1891,781.0,2392.0,3173.0,1428,562.0,299.0,1015.0,1502,7610,12.11,2015-16,0,0,0,0,0,,17,65,0.207,56  ,8-44 ,2-14 ,12-29,5-36 ,1-1 ,1610612747,1173.2492324361829
Memphis Grizzlies,2645,6006,443.0,1313.0,1412,1764,739.0,2168.0,2907.0,1494,623.0,276.0,889.0,1488,7145,14.01,2015-16,1,0,0,0,0,7.0,42,40,0.512,31  ,25-27,7-9  ,26-15,16-25,3-3 ,1610612763,1318.48991431791
Miami Heat,3109,6588,494.0,1455.0,1378,1854,793.0,2724.0,3517.0,1670,538.0,525.0,1069.0,1454,8090,15.32,2015-16,1,1,0,0,0,6.0,48,34,0.585,9   ,31-21,10-6 ,28-13,20-21,3-3 ,1610612748,1487.5222282464529
Milwaukee Bucks,3064,6494,405.0,1142.0,1350,1814,850.0,2469.0,3319.0,1782,652.0,472.0,1140.0,1619,7883,13.79,2015-16,0,0,0,0,0,,33,49,0.402,24  ,21-31,4-12 ,23-18,10-31,4-0 ,1610612749,1299.434226153525
